Newspaper,Organizer,Source URL,Source Type,Approved At,Deleted At,Organizer Deleted,Newspaper Disabled
Akers Avis Groruddalen,Deichman Stovner,https://deichman.no/hva-skjer?branch=branch_Stovner,Weblink,2025-10-24 09:34:15,,No,No
Akers Avis Groruddalen,Deichman Nordtvet,https://www.facebook.com/deichman.nordtvet/events,Facebook,2025-04-07 12:56:16,2025-10-23 10:58:05,No,No
Akers Avis Groruddalen,Deichman Stovner,https://www.facebook.com/deichman.stovner/events,Facebook,2025-04-07 12:55:37,2025-10-24 09:53:19,No,No
Akers Avis Groruddalen,Rødtvet senior -og aktivitetssenter,https://www.facebook.com/rodtvetseniorsenter,Facebook,2025-03-12 11:01:21,2025-03-12 11:02:08,No,No
Akers Avis Groruddalen,Rødtvet senior -og aktivitetssenter,https://www.facebook.com/rodtvetseniorsenter/events,Facebook,2025-03-12 11:13:30,,No,No
Akers Avis Groruddalen,Deichman Romsås,https://deichman.no/hva-skjer?branch=branch_Roms%C3%A5s,Weblink,2025-03-24 08:58:23,2025-03-24 08:59:07,No,No
Akers Avis Groruddalen,Furuset bibliotek og aktivitetshus,https://www.facebook.com/fubiak/events,Facebook,2025-04-24 10:33:36,2025-12-23 11:28:19,No,No
Akers Avis Groruddalen,Furuset bibliotek og aktivitetshus,https://deichman.no/hva-skjer?branch=branch_Furuset,Weblink,2025-04-24 10:33:36,2025-12-23 11:14:16,No,No
Akers Avis Groruddalen,"Høybråten, Fossum og Stovner menighet",https://www.facebook.com/HFSMenighet/events?locale=nb_NO,Facebook,2025-04-15 14:23:58,2026-01-07 12:16:45,No,No
Akers Avis Groruddalen,Ellingsrud og Furuset menighet,https://www.facebook.com/ellingsrudogfurusetmenighet/events?locale=nb_NO,Facebook,2025-04-15 14:22:23,2026-01-07 12:55:27,No,No
Akers Avis Groruddalen,Linderud gård,https://www.facebook.com/linderudgard/events?locale=nb_NO,Facebook,2025-04-10 13:05:52,,No,No
Akers Avis Groruddalen,Østre Aker og Haugerud menighet,https://www.facebook.com/ostreakeroghaugerudmenighet/events,Facebook,2025-04-15 14:28:36,2025-04-22 12:16:25,No,No
Akers Avis Groruddalen,Nordre Lindeberg gård,https://www.facebook.com/NLGiOslo/events?locale=nb_NO,Facebook,2025-04-30 13:12:47,,No,No
